TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
MIS-STG-EAC;;Balloons-Stick General;miscellaneous;miscellaneous;external;ea;pos
MIS-STR-EAC;;Strawberry;miscellaneous;miscellaneous;external;ea;pos
MIS-SWR-EAC;30522;Silver Writing;miscellaneous;miscellaneous;external;ea;pos
MIS-TOO-EAC;;Toothpicks 1000s;miscellaneous;miscellaneous;external;ea;
MIS-WHC-EAC;;Additional Whipped Cream;miscellaneous;miscellaneous;external;ea;pos
MIS-XSR-EAC;;Xmas Sticker Scroll English;miscellaneous;miscellaneous;external;ea;
SRC-CHO-CRE;;Choc Cream -20 Fig On Base;miscellaneous;miscellaneous;internal;kg;pos
SRN-CML-016;;Caramel Spread only - on 16;miscellaneous;miscellaneous;internal;ea;pos
YBU-OVM-EAC;30005;Oven Mittens;consumables;Consumables;external;ea;
SRN-CRM-016;;Cream colour cream only - 16;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-012;;Strawberry Jam only - 12;miscellaneous;miscellaneous;internal;ea;pos
YBU-PAL-EAC;30653;Palette Knife;consumables;Consumables;external;ea;
SRN-JAM-012;;Strawberry Jam only - 12;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-014;;Strawberry Jam only - 14;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-014;;Strawberry Jam only - 14;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-016;;Strawberry Jam only - 16;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-18;;Strawberry Jam Only-18;miscellaneous;miscellaneous;internal;ea;pos
SRN-JAM-20;;Strawberry Jam Only-20;miscellaneous;miscellaneous;internal;ea;pos
SRN-PAI-EAC;;Painting on Roses;miscellaneous;miscellaneous;internal;ea;pos
YBU-PBR-EACH;;Pastry Brush Nylon 60mm;consumables;Consumables;external;ea;
SRN-PEA-014;;Peach Slices Only 14;miscellaneous;miscellaneous;internal;ea;pos
SRN-PLI-012;;Plastic Icing Covering Only 12;miscellaneous;miscellaneous;internal;ea;pos
SRN-PLI-016;;Plastic Icing Covering Only 16;miscellaneous;miscellaneous;internal;ea;pos
SRN-PLI-016;;Plastic Icing Covering Only 16;miscellaneous;miscellaneous;internal;ea;pos
YBU-SBP-EAC;30012;Sponge for bread pan;consumables;Consumables;external;ea;
XDE-AST-EAC;30836;Astd roses;miscellaneous;miscellaneous;external;ea;pos
XDE-SIL-KGR;30202;Silver Beads Per Kg;miscellaneous;miscellaneous;external;kg;pos
XDE-TEA-EAC;30201;Ribbon tear 1 Roll;miscellaneous;miscellaneous;external;meter;pos
YBU-SSC-EAC;;Scraper Steel 115x80mm;consumables;Consumables;external;ea;
YCC-CHA-EAC;30630;Champagne Bottle;miscellaneous;miscellaneous;external;ea;pos
YCC-LEA-EAC;30624;Leaves No.Large;miscellaneous;miscellaneous;external;ea;pos
YCC-MIS-EAC;30817;Mistletoe Garland ribbon;miscellaneous;miscellaneous;external;ea;pos
YCC-OCC-KGR;;Old Cakes Currant Square;miscellaneous;miscellaneous;external;ea;pos
YCC-APR-EAC;;White Plastic Aprons;consumables;Consumables;external;ea;
YCC-BUN-EAC;30044;Paper 10kg Bunny;consumables;Consumables;external;kg;
YCC-CRG-EAC;;Cream Gun 500g;consumables;Consumables;external;ea;
